6857.9999830494	0.1927650037	0.0000000000	-0.0002118875	7.7103249979	0.0000000000	1999.9150526657	
6857.9999608013	0.3855331324	0.0000000000	-0.0004237785	7.7104499952	0.0000000000	1999.8301053313	
6857.9999332556	0.5783043859	0.0000000000	-0.0006356729	7.7105749919	0.0000000000	1999.7451579970	
6857.9999004124	0.7710787643	0.0000000000	-0.0008475707	7.7106999879	0.0000000000	1999.6602106626	
6857.9998622714	0.9638562675	0.0000000000	-0.0010594719	7.7108249832	0.0000000000	1999.5752633283	
6857.9998188326	1.1566368955	0.0000000000	-0.0012713766	7.7109499779	0.0000000000	1999.4903159940	
6857.9997700959	1.3494206484	0.0000000000	-0.0014832848	7.7110749720	0.0000000000	1999.4053686596	
6857.9997160612	1.5422075261	0.0000000000	-0.0016951963	7.7111999654	0.0000000000	1999.3204213253	
6857.9996567285	1.7349975286	0.0000000000	-0.0019071114	7.7113249582	0.0000000000	1999.2354739909	
6857.9995920976	1.9277906558	0.0000000000	-0.0021190298	7.7114499504	0.0000000000	1999.1505266566	
6857.9995221685	2.1205869078	0.0000000000	-0.0023309517	7.7115749419	0.0000000000	1999.0655793222	
6857.9994469410	2.3133862845	0.0000000000	-0.0025428770	7.7116999327	0.0000000000	1998.9806319879	
6857.9993664152	2.5061887859	0.0000000000	-0.0027548058	7.7118249229	0.0000000000	1998.8956846536	
6857.9992805908	2.6989944120	0.0000000000	-0.0029667379	7.7119499125	0.0000000000	1998.8107373192	
6857.9991894679	2.8918031629	0.0000000000	-0.0031786736	7.7120749014	0.0000000000	1998.7257899849	
6857.9990930463	3.0846150384	0.0000000000	-0.0033906126	7.7121998897	0.0000000000	1998.6408426505	
6857.9989913260	3.2774300385	0.0000000000	-0.0036025551	7.7123248774	0.0000000000	1998.5558953162	
6857.9988843068	3.4702481633	0.0000000000	-0.0038145011	7.7124498644	0.0000000000	1998.4709479819	
6857.9987719887	3.6630694127	0.0000000000	-0.0040264505	7.7125748507	0.0000000000	1998.3860006475	
6857.9986543716	3.8558937868	0.0000000000	-0.0042384033	7.7126998364	0.0000000000	1998.3010533132	
6857.9985314554	4.0487212854	0.0000000000	-0.0044503595	7.7128248215	0.0000000000	1998.2161059788	
6857.9984032400	4.2415519086	0.0000000000	-0.0046623192	7.7129498060	0.0000000000	1998.1311586445	
6857.9982697253	4.4343856563	0.0000000000	-0.0048742823	7.7130747898	0.0000000000	1998.0462113101	
6857.9981309113	4.6272225286	0.0000000000	-0.0050862489	7.7131997729	0.0000000000	1997.9612639758	
6857.9979867979	4.8200625255	0.0000000000	-0.0052982189	7.7133247555	0.0000000000	1997.8763166415	
6857.9978373849	5.0129056468	0.0000000000	-0.0055101924	7.7134497373	0.0000000000	1997.7913693071	
6857.9976826723	5.2057518926	0.0000000000	-0.0057221692	7.7135747186	0.0000000000	1997.7064219728	
6857.9975226600	5.3986012630	0.0000000000	-0.0059341496	7.7136996992	0.0000000000	1997.6214746384	
6857.9973573480	5.5914537577	0.0000000000	-0.0061461333	7.7138246792	0.0000000000	1997.5365273041	
6857.9971867360	5.7843093770	0.0000000000	-0.0063581205	7.7139496585	0.0000000000	1997.4515799698	
6857.9970108241	5.9771681206	0.0000000000	-0.0065701111	7.7140746372	0.0000000000	1997.3666326354	
6857.9968296122	6.1700299887	0.0000000000	-0.0067821052	7.7141996153	0.0000000000	1997.2816853011	
6857.9966431001	6.3628949812	0.0000000000	-0.0069941027	7.7143245927	0.0000000000	1997.1967379667	
6857.9964512879	6.5557630980	0.0000000000	-0.0072061036	7.7144495695	0.0000000000	1997.1117906324	
6857.9962541753	6.7486343393	0.0000000000	-0.0074181080	7.7145745456	0.0000000000	1997.0268432980	
6857.9960517623	6.9415087048	0.0000000000	-0.0076301159	7.7146995211	0.0000000000	1996.9418959637	
6857.9958440489	7.1343861948	0.0000000000	-0.0078421271	7.7148244960	0.0000000000	1996.8569486294	
6857.9956310349	7.3272668090	0.0000000000	-0.0080541418	7.7149494702	0.0000000000	1996.7720012950	
6857.9954127203	7.5201505475	0.0000000000	-0.0082661599	7.7150744438	0.0000000000	1996.6870539607	
6857.9951891050	7.7130374104	0.0000000000	-0.0084781815	7.7151994168	0.0000000000	1996.6021066263	
6857.9949601888	7.9059273975	0.0000000000	-0.0086902065	7.7153243891	0.0000000000	1996.5171592920	
6857.9947259717	8.0988205089	0.0000000000	-0.0089022350	7.7154493608	0.0000000000	1996.4322119577	
6857.9944864537	8.2917167445	0.0000000000	-0.0091142669	7.7155743319	0.0000000000	1996.3472646233	
6857.9942416345	8.4846161043	0.0000000000	-0.0093263022	7.7156993023	0.0000000000	1996.2623172890	
6857.9939915143	8.6775185883	0.0000000000	-0.0095383410	7.7158242721	0.0000000000	1996.1773699546	
6857.9937360927	8.8704241966	0.0000000000	-0.0097503832	7.7159492413	0.0000000000	1996.0924226203	
6857.9934753699	9.0633329290	0.0000000000	-0.0099624288	7.7160742098	0.0000000000	1996.0074752859	
6857.9932093456	9.2562447856	0.0000000000	-0.0101744779	7.7161991777	0.0000000000	1995.9225279516	
6857.9929380198	9.4491597663	0.0000000000	-0.0103865305	7.7163241449	0.0000000000	1995.8375806173	
6857.9926613924	9.6420778712	0.0000000000	-0.0105985864	7.7164491116	0.0000000000	1995.7526332829	
6857.9923794634	9.8349991001	0.0000000000	-0.0108106458	7.7165740776	0.0000000000	1995.6676859486	
6857.9920922326	10.0279234532	0.0000000000	-0.0110227087	7.7166990429	0.0000000000	1995.5827386142	
